hex9,latitude,longitude,value
89c79e358bbffff,444194.4762288212,99591.96259443957,734
89496e84407ffff,439219.09420919995,110041.5200304475,398
89bf2570e27ffff,409276.39798257244,121483.11543556106,265
898f0dc33afffff,452156.57849385415,57519.645974869876,434
89299224643ffff,415118.3410649989,125888.47956298113,355
89d0e3952abffff,460389.98245568865,90737.39535428875,293
89150c6ce13ffff,406921.1077068066,58617.59223172196,147
892ee284cb7ffff,420522.8759911631,94818.88809459445,372
891a918214bffff,482896.05807469727,99484.64872507058,195
89000255e0bffff,447919.1161767618,51165.287279434415,516
891b316045bffff,449401.07792958204,60611.64531831429,726
89f16ca3317ffff,441265.334234727,53447.42379253371,230
89f282318b3ffff,423632.1567202432,67551.42483757526,806
8982228ce37ffff,469987.0184394429,82630.37874013104,964
8965556a9d3ffff,421376.1171446485,47795.241143813946,7
8904c5aa06fffff,459470.12776424154,119504.84806303775,568
897aaac8c57ffff,478805.2198786376,103007.7345134934,476
89f1462f427ffff,433714.7746017326,58362.618749238594,459
89c396bb2d3ffff,455985.1430312425,67810.6579422137,722
89c0eb70153ffff,458237.0267053532,61915.29579338967,628
89e6f2aec77ffff,415318.5151019585,60676.49292222001,19
89ed516ae13ffff,428687.0101397899,93399.92694812757,146
8932d4bb18bffff,424577.43551355303,80627.8164881549,321
89adac15393ffff,410370.825939366,48257.07188871477,525
89e3151a037ffff,426533.23272989487,130177.70900225289,910
89e819b508bffff,452042.48465808196,72455.23813265504,231
899a94a4a17ffff,476829.7581501086,99375.13900233139,156
89523603097ffff,477020.64460423443,102279.86797351655,555
89725a4cba3ffff,421921.32220719993,68906.6305950334,200
89bf0c28db7ffff,465439.34243220487,77558.04700411495,367
8908cdd31abffff,462308.8362456034,47905.12882775752,778
890c3109b53ffff,411545.8913198695,64998.744648362444,180
898424b0b9bffff,477358.6546773031,45062.572431771914,56
89f023c1207ffff,483021.10399975954,62176.89422406102,958
8914cd04a4fffff,464812.88365784084,48383.604438533206,486
89f29cada93ffff,416792.25615470804,123378.50766280353,977
894cc4d5d37ffff,425899.14016684477,99652.38704895964,583
891f9578a77ffff,473806.384192921,61924.78839728546,76
8907a506e73ffff,458024.3315013093,110326.88752942451,276
8904f385e53ffff,477788.7798718697,60276.26340936081,398
891a290d56bffff,462009.55303403636,94821.20234990286,955
89005e21317ffff,416966.46690250805,118442.31920847815,132
89bf168b52fffff,427537.264531067,95025.35405712057,873
8975a8c4477ffff,423533.8350667648,76492.70485929199,769
89ee6da0cd7ffff,416452.71704865183,119096.30091817732,185
890330b1203ffff,440371.9486885079,99363.55384018112,615
89b68c9367bffff,451645.1205704707,101971.94544430383,904
89d30b4508bffff,408190.30192544573,129126.78530026982,805
89ed8cc2da7ffff,412855.94984492887,87992.41249647184,954
8923ac9a44bffff,464800.5919924652,91278.98990623512,473
891ad8473c3ffff,452660.57480370277,120375.02598265566,901
89010ec58b3ffff,429554.129603704,76347.12926010376,209
890521cc357ffff,423819.63195961784,73719.55442383821,79
8902f652597ffff,414793.98711236095,72961.47757141724,172
893f895754fffff,469592.8877326299,48438.00496760618,808
89a1430751bffff,437736.2712282022,46657.779111786134,199
893946b058bffff,449321.2201818951,103681.67363320403,436
89a6b325d5bffff,448181.87567074253,126476.39717917578,837
891232d1117ffff,455460.3323530474,61434.036734726986,562
89d98578d2fffff,462549.7145482722,111386.58329813849,608
899d1b6143bffff,411676.8234142212,74128.54619783178,965
89e06c6422bffff,449220.1283864723,58363.17726418578,154
89eb30441cbffff,448860.6156285483,107842.69288036108,218
8941326ca23ffff,420861.86482438014,63837.55890405891,154
898c8d81803ffff,474662.8433463704,56444.29647922799,699
89121a49517ffff,433564.75675314013,122817.98201022472,940
89ab8ab092fffff,436652.91965222964,63066.04442005171,959
89ec5b8a827ffff,426856.4801988942,67265.95830735736,426
89b789a50d7ffff,452489.8723795186,99989.58037068753,967
89b4652d353ffff,469051.66687335336,124032.34287369731,17
894ec9c9353ffff,408626.9139820464,44423.203117937825,502
8912467946fffff,445084.1438174695,86831.19165369014,582
890c415a0a7ffff,463739.6507797495,85893.3404074974,42
89e1596c6c7ffff,411778.4595457068,91489.3545890701,652
896463c42dbffff,482574.28666795307,120148.99835365254,766
89f2f579343ffff,474741.62310305773,59106.90784825135,578
895acdced43ffff,458079.3157048894,86025.40168087813,753
893cd42588bffff,469598.3167228895,90630.243299813,121
89186481b9bffff,480650.2285987616,58679.839910713155,673
899e9b8120fffff,406792.7355904356,53445.77093409494,963
896a00ce14fffff,470527.54078007175,73825.86818041635,504
89a8a5794dbffff,444576.4782326235,55035.849738937075,352
89f15453057ffff,471515.19767579273,112392.95785732675,701
89dee215babffff,425109.34747469256,79870.94747034967,295
89f162ad8c3ffff,447747.1979321083,63924.02149263703,456
89a46a940cfffff,472162.8305314559,129041.83903985877,83
89d7000f4a7ffff,464704.2209479826,73116.49921937725,585
893424062bbffff,420261.66545628844,116076.17618256513,309
8934e1730cfffff,464428.145246663,96455.59299500479,718
89f16eae30fffff,477265.40100868104,127262.12642809626,316
89f00c694c7ffff,427601.4155055583,97261.67492282827,213
8910f561557ffff,442137.77287037246,77094.45946799786,272
89ec6d26b47ffff,417519.101254208,114988.99205006038,366
89e5334a40bffff,459659.22507976094,45842.48112923304,771
89ac698750bffff,412174.96684211434,61198.38406581397,804
89d55326b53ffff,424749.3089801058,67872.15363309122,939
898193b4d6fffff,471787.09746599884,86547.49518299085,422
89f28583533ffff,451705.4768096611,78155.64246414936,519
89a10ba2ed7ffff,435804.11732707784,111642.97173730699,658
89e195ae3a7ffff,419277.3557947501,120857.35935072655,179
894ee1922dbffff,428916.9404505496,98247.15930759118,849
893ea120c1bffff,471035.98309017473,100639.50582201347,778
89bd4322ed7ffff,432681.20766121516,65546.18226569737,457
89d2ae28c13ffff,447075.8567807372,119059.54258511518,55
8937220c0abffff,462642.3673909075,70770.19667182742,764
89d81578c0fffff,457511.18304534775,88337.78702329082,136
893572335abffff,448599.5486741639,44620.5151197473,918
8903ad035cbffff,422003.2627337363,71146.00178565005,584
8900e8453d7ffff,432086.8939229471,123168.15496273343,339
890075af177ffff,413378.6664849971,106022.90652541339,495
89f2a2b86c3ffff,427225.26396025124,119175.9903130348,114
890016a9b77ffff,441462.67128875543,103552.93379919499,259
89d2d3b36c7ffff,478402.44284429564,73698.63022344888,318
89238652167ffff,431682.58979577105,78683.54029097444,140
8993702030bffff,469074.1494995753,80540.73359198512,916
89f2f09aa5bffff,473677.7672246755,94204.99630318017,211
89ecc2b1123ffff,422210.01434702054,52325.90875428831,763
890f764606bffff,431035.6973108745,119277.70203513352,195
899b584164fffff,442995.57463267044,107281.24035425507,174
896c0cc280fffff,418326.5639447924,112946.00852938772,782
89ce3412b6bffff,476508.2956436155,118904.400582547,224
89eba304b23ffff,409199.19580810604,124932.79464185784,417
896f2d8288fffff,440997.0232393307,99240.19935095258,120
894b850498bffff,427116.6822287254,64742.80176540019,345
8978587a16fffff,420474.79155414895,104991.1242578798,895
89bba85b277ffff,453921.6884786327,101344.71860548764,29
8941942f0d3ffff,419428.9129034601,91559.22877807842,624
89ec4c0192fffff,450280.8690176855,121096.75229122347,587
89c88cc5337ffff,417814.2193976215,83446.63044261385,252
8922b5cf54fffff,475332.31420008995,96862.63455188474,386
89c5b39993bffff,468933.3212497191,110655.08558924939,743
897cae0f643ffff,427681.92837754596,96462.92245099877,4
890ba1a527bffff,451138.7616236248,98000.07608350346,442
894e2aae42bffff,462760.98584009014,69810.14920810827,147
89108831ab3ffff,418805.83125885495,62873.90826586986,795
8936e64c217ffff,453989.4181718263,94892.91592249673,647
89e0edc58b7ffff,422874.9200441616,72591.1398623742,762
894d3258b8fffff,456870.8763238563,95335.51682145,919
89bd9da2243ffff,425487.7243498655,104799.96046847146,760
89691028583ffff,437051.0216489917,72830.75166829502,785
8955237813bffff,421354.6601029281,126889.61983002332,504
89ee5350c97ffff,423248.3840650114,50898.50288941953,493
89025d2ed33ffff,413388.2690921925,50856.57157353398,593
89ecb5d90d3ffff,456361.8376144646,50003.15832174333,100
8900d39b0b7ffff,450817.41848513053,110075.3141057018,413
8992197554bffff,453945.6905730785,63974.24022135095,798
89414108a67ffff,447280.44975858426,105045.49163012237,483
8938920750bffff,424956.9978494169,61734.53491799545,100
8940823667bffff,479554.16283510765,94431.65203888359,947
89f2935b493ffff,431550.8144694691,102285.79245619645,546
897e13534a7ffff,410039.4401266713,104936.65575457472,220
89819a35c93ffff,410755.04498153017,125246.72421549188,804
892bad73567ffff,481365.45749587717,107929.76795242769,734
8900d672aa3ffff,465218.64432375337,89910.20334130569,512
890561c0933ffff,427054.05589368846,65496.14178705205,526
890594074c3ffff,424508.0325921439,93717.48450721645,882
89d326a4ca7ffff,477596.6111591024,130023.62875524224,253
893c501aa87ffff,458431.5834181136,77312.49902767543,959
89376d35ad7ffff,410900.7749677236,105164.24733285594,953
8903a42ae2bffff,459803.04485235957,104595.78298491109,617
89331c36a8bffff,444030.5801193111,125993.16739194715,720
89ead2ad497ffff,435892.2271491941,88374.78915901971,972
893ee3914dbffff,466716.56039455964,51327.07006653233,107
89f29cd068fffff,440911.5242181766,96360.85202082791,218
89558e496bbffff,443899.60381684307,94300.42638005331,857
899328d6cabffff,472317.4584899442,69379.02251730257,642
89ef71cb153ffff,466122.059773134,59691.51230408307,198
89f2d046103ffff,463237.3368930673,117632.35883645313,89
894d9a4569bffff,459513.44818326976,72826.22008672716,606
89d705a3203ffff,424743.7903496035,61234.36720812788,645
8918ee0550fffff,474614.22906870715,127968.92269594132,516
8993638b2c7ffff,457746.07343059283,101603.28829767025,517
8980589a5d7ffff,462242.0492666934,94271.98390033684,648
89c1804cd1bffff,479128.11173778656,87099.77190110355,411
89a1459aa33ffff,441333.8728172135,55657.547332358416,115
89b3832c48bffff,439895.7144328057,121602.28213599836,773
890f5c154cbffff,475259.3127775878,69055.88905214761,608
89f175d41abffff,472951.8477464525,90783.73300072184,252
89750a9513bffff,456125.5324358196,62997.03477838116,389
8935ad51c0bffff,471279.9863833366,120930.29129840234,760
891c866051bffff,432132.817256617,119547.93819988689,321
898fa8c6e6fffff,413464.4635943392,106292.56158748297,979
8973b422b63ffff,442444.4942026098,52686.599633125865,619
89cba2a982bffff,456082.09529965784,101204.96750862434,916
89eb4965a13ffff,445211.64804361126,100453.75702893904,36
89bf16744afffff,469296.8418579601,94664.6757878784,111
89d31ccf603ffff,432592.81406685174,90430.08930134765,840
891a286ecdbffff,451130.5591416813,70519.63232218775,196
8929925ae63ffff,467677.9117320535,108249.63553894252,790
8994a3cad67ffff,426943.7233922734,74641.24714040654,497
898b593ababffff,411472.5005409538,109010.4269425241,153
89b54829a17ffff,452489.3080228884,104592.72332370281,239
891a4648ab3ffff,454092.79218580783,122543.51350408558,78
890a84d8827ffff,433497.8833939103,77137.09062112749,717
89056192507ffff,447213.5168969848,80257.40594734282,200
89040dc357bffff,452264.1824624131,82417.03588976398,771
89d92ea908fffff,429781.32851161645,107781.03334198282,181
89eb4b78e97ffff,428329.21287529974,118272.43780179956,813
898c55723d7ffff,418509.46855609387,76598.91502026992,646
89ea8695aa7ffff,418561.9342315833,107639.1047491721,319
89005a218d7ffff,431372.46963487146,129055.61266863985,472
8993818b203ffff,468713.75249399035,70450.34897337476,697
8990a4b6c53ffff,412031.6232943223,73141.7200297167,758
89188a55647ffff,472812.4273440619,110677.00029616684,381
89bc75d5413ffff,415044.32279517147,81386.06234335627,148
8948b12097bffff,468153.480425284,126800.64212746316,484
8963a2968a7ffff,471046.3352874176,62152.15206611586,240
8936f62cbdbffff,442231.76160884975,97950.63004261287,259
89046b6ceafffff,415905.13988860225,59049.74543755456,590
893d6dd4543ffff,454820.27708957996,62910.29816771546,767
89034b26893ffff,459796.71443851996,46375.689867622954,490
895c82c701bffff,454687.2309955349,109641.67848390939,309
89585b32007ffff,462049.4338411405,62115.85293381985,194
89d908b6083ffff,413223.69839809544,89777.21782178723,119
89e12d5ad27ffff,418971.5304042204,77822.79401220268,11
893c6ba7223ffff,408387.4087360733,115477.74097947587,344
89ac50c33a3ffff,418297.46019692434,76325.836911204,535
891e120c307ffff,461925.7457804374,92534.44930185238,989
8978e96ce13ffff,408233.2066270308,73669.6795720444,373
89f1668a397ffff,454948.88260608877,61763.44644791969,301
89388b7a5c7ffff,419424.76855219423,129240.34168336034,474
8981b26e0cbffff,426789.9352287897,94108.24097380906,479
890d40706c3ffff,441113.24629840854,59798.00615535406,282
895eeabb523ffff,450161.6601847998,128282.66784434121,843
895ee8cc3b7ffff,448362.1136669634,78962.22859538742,679
89f295a140bffff,414991.82666861627,91996.80560274309,606
89ef59b73b3ffff,426527.4797317197,112618.93502398275,476
89ce4c2ed73ffff,454539.0446089167,81809.84057061485,646
89486e1224fffff,437552.61432231,70621.69594800609,257
8939652a423ffff,418455.52874047187,108542.57026011587,348
89ca52cc31bffff,469757.2739421998,118861.69735825833,686
89310d063a3ffff,457603.67705634126,71404.50910839807,476
89f3617354fffff,471489.98764361977,97955.10622250149,229
894b1598e43ffff,414151.8763983913,76623.05724272475,848
89cb412002bffff,426093.2698766208,45601.081405313045,477
89001b15137ffff,457658.0922554163,67554.23865085817,278
89d81b30c87ffff,464353.62142823986,52333.061232001906,974
893c9c4b113ffff,446921.31965405773,97104.33505829523,973
89531c749c3ffff,480984.12776382186,70240.85456449569,326
896cac7a2c3ffff,437405.42781368416,111140.08392069548,274
89e6a654ad3ffff,481620.3873082626,128549.55657898597,922
891e46802b3ffff,424848.8819975189,109468.25269867039,463
8948047aea7ffff,422076.3945584708,112391.97884853094,279
89842a7a583ffff,474835.8715955697,97625.37928624317,169
89114055d6bffff,475673.3048154431,77260.17186253969,783
89031c99a67ffff,456205.41062972875,109678.23134861638,392
89b5126a163ffff,473253.716536159,44309.554438127154,528
89a3046c227ffff,442786.8655078511,72045.16719656091,972
89d184d661bffff,454276.63749517803,127441.10890139642,519
890d0d429c3ffff,459069.9377725873,53490.092073776934,678
89be8589227ffff,431252.24266047584,63156.701615065875,798
89c80a21317ffff,457160.1239341379,90825.51932790881,691
8900e8d1043ffff,456573.66641160956,63582.67790379457,419
89021db9487ffff,407957.26076597604,112213.75458102483,70
8978968547bffff,469985.3573986343,105155.81639461505,112
89f22841983ffff,443416.91080635873,114881.51243565917,321
892d0a16623ffff,475338.0742240501,101378.05683138056,980
892d73d420bffff,423405.3325487683,50798.51918860729,747
89df0a524b7ffff,438420.7419501904,117661.20669846627,635
8982de75a0bffff,446044.7710712269,59047.685815733625,274
89170ecdd77ffff,474180.5224704096,79358.03646375246,258
89075a16bcbffff,437465.2540046592,47854.42026076642,622
89c8ea884cbffff,425018.72988953773,106120.15235385216,207
89a4cba6b2fffff,463531.315981589,102035.07625640524,898
89a8ad31097ffff,463658.5842041557,64753.19263497795,318
890574ad3bbffff,410483.614798329,66726.25939199257,632
89818395637ffff,429471.942862524,95724.87784715739,841
89bfad0d197ffff,469764.26455323433,109601.30190422025,813
894f19ba593ffff,407683.6099676917,47494.738745545146,119
893b3524047ffff,413319.87695921416,118747.43339813227,874
89f28230ecfffff,436587.81271793885,97971.037082212,976
890544b047bffff,432084.1981068449,125072.7508541526,534
89cd8eb8003ffff,444820.7273184089,93869.71955093197,401
89d149b540fffff,472280.0420211845,104422.90522513952,474
89ef25751bbffff,438024.07556891907,108822.12946625786,814
8916d992317ffff,467773.65080591897,117352.05468463285,266
89a20aa730bffff,413978.40641483566,54412.40956680666,480
893ee4255dbffff,477155.2324191661,68966.73789916093,917
899eb390e2fffff,449829.7353828738,62269.98743386433,457
89a26bbb3cfffff,471437.7500332314,69000.58282146059,19
89d709adecbffff,413946.8546611764,117391.81222157305,690
89db6e72d97ffff,474721.4848408221,66225.44149351801,941
89de16371a3ffff,432596.424599178,67092.75489306526,438
89365172887ffff,418830.4215238262,104798.91189958289,114
896b161542fffff,468372.4359721512,84978.98303820268,297
89a12694113ffff,480449.97556044685,51527.725610308946,482
8924931a517ffff,462025.19273961807,59315.91580856445,623
890225184b7ffff,422017.4949656685,51565.45452379309,19
89e31c6b6b7ffff,424015.09411503334,58899.84333367893,243
891e033583bffff,448247.8160407143,105859.86228963238,834
89424d36943ffff,407191.69246399443,111314.72788982611,615
89ef200958bffff,445235.2528162104,105052.238556423,119
89de91c1b83ffff,470753.8160676534,89784.32431273645,506
89e9006f65bffff,435892.95970729494,107173.0718460382,715
89bf8239593ffff,430050.84833693027,101143.57532158389,307
89f0298d52fffff,474021.0253835558,109313.1328417451,82
8920358a107ffff,453646.9281400728,53706.64888125089,465
89733237433ffff,471610.33806956076,91929.63113805355,448
897f6d905a7ffff,446756.15491178073,106365.66619304608,561
8900f5a4b4bffff,434603.13982611697,84657.77335892455,680
89b51094427ffff,444095.59409819485,79588.1413744128,252
89055038bdbffff,458720.2498983386,67467.48245083087,541
89c299a0297ffff,419365.3781982576,105429.38030412345,135
89055ac8bcbffff,432798.7156149102,109238.19155396834,488
8969ad61d6fffff,410210.936148322,101812.07948477712,4
899b58baccfffff,468915.89668561955,109800.45058241546,261
89f2b0d9c8fffff,438026.17990146176,103302.28060047099,811
89a92974283ffff,416370.3221222918,94805.8542300016,336
8946a0ba227ffff,469597.41520065727,118445.62815431117,329
89ccf146497ffff,432681.5138259291,76037.9017362142,228
89f29850acfffff,452427.98899395415,96591.79980681412,871
89dd73cac0fffff,417480.4697411186,117155.63943182325,923
895b6540aa7ffff,448734.77932807273,92508.59760492912,877
89256298167ffff,425574.10251692665,95144.39487173334,972
897f74926b3ffff,449827.13834306534,87829.88083205913,826
892b364701bffff,433490.3241103553,110094.36104679597,409
89031844867ffff,431363.6774882177,66480.82048804374,679
898d258212fffff,453942.8283681098,96231.19584891493,95
89326e36e87ffff,475592.37993733207,58837.45378350649,360
89f15aa0c9bffff,456021.6701817324,87705.34204319242,200
897361a2343ffff,473924.3951048659,94281.31559116177,803
89a92e16bc7ffff,435091.7636241031,115327.63045504094,582
89331e95ccbffff,463709.83947356866,107094.51049569828,10
89052497603ffff,440719.53079557006,107368.0989204021,15
8920ac39d0bffff,409361.2876316109,126071.65435125625,662
899c2b92b27ffff,465463.03456741275,69622.80272249557,702
89341162b73ffff,440787.0462140754,108871.46619553518,32
8905b0346abffff,435309.6553590544,44034.20609108458,467
890a13a43d3ffff,477117.55693726835,77674.18187371956,266
89d9b043063ffff,434830.19990432315,69992.40185663267,990
89023201d47ffff,417699.87771665625,70255.59554646845,206
891b44d68afffff,434284.11714905966,52345.82951687433,15
89532d724b7ffff,432028.53420308133,63764.60984915828,953
894f2d8e24fffff,409330.6394516569,72874.61379527985,988
8994224ec67ffff,433069.8362318822,101282.95870527143,24
89926478477ffff,460272.38860816613,83242.08606138035,317
894d748066bffff,460464.60087147454,83460.13974440811,985
8900aa45963ffff,432078.73247049097,66671.88342787813,836
898b35d268bffff,457398.7170797165,52677.861900438285,64
89821e4a403ffff,441901.7088464146,62830.94385695367,921
89f293831d3ffff,474390.0930171412,111366.97319668125,481
89cea315103ffff,450677.45171139634,123048.22446865853,253
89b785b4e1bffff,474806.3144081229,87751.33641850288,142
8910055984bffff,461999.3680887392,92744.55168610078,217
89078bd48a3ffff,433874.5018116259,76645.52721720323,587
899da541d43ffff,442996.68490807177,68374.28751583754,861
8927b015d73ffff,441489.8411689232,63790.842723078196,215
89440562243ffff,463834.5468491088,81453.96988292265,413
89d36939927ffff,462824.69303168514,73494.72964075961,675
89f165b71cfffff,439467.03597092954,130471.00622287534,567
890332c1ac3ffff,479966.3139658919,102063.32561276572,366
8966733981bffff,452525.4290939398,74089.75718847323,906
89dc2289cabffff,418622.3939161299,75944.15501455755,420
8903247257bffff,445410.92995479883,105332.59923859665,270
890785a945bffff,454036.1923438692,60816.7651473634,216
89f18578a63ffff,456042.83394199895,129706.81773785077,833
89898b5648fffff,435067.1534227381,92551.28139189293,414
89bdabb4b2bffff,459324.92088429927,106597.76403590926,146
89332a27347ffff,420273.32776574354,78110.98534541774,80
89a994a124bffff,412171.4885257883,110120.30069453035,957
89ee3273257ffff,466483.24779157416,58658.24061612189,532
892c288dc97ffff,446802.7110468724,92204.08569775998,145
8976ca59903ffff,455226.6932104125,119144.56115841366,711
89062a8651bffff,461947.73084138427,55771.953224077624,359
89ee9c61993ffff,453891.75745731906,78111.11952146665,122
890d6d1542fffff,459113.70305323217,58727.937333550864,648
8910eacb44fffff,458760.5031505517,98520.13104994126,21
89e48836567ffff,445986.82351956854,127896.24024503957,33
8922c337163ffff,432414.2909651903,102788.50075919437,549
89b59b5314fffff,447686.41687405686,62672.49883157549,803
890306c2923ffff,451892.6515107039,97962.22532152,998
89ca934d8bbffff,419629.01430594083,72228.52324443539,61
898435c4dabffff,482396.4687961228,86461.3380684157,196
89f0ed671c3ffff,445213.84782058833,105706.1774732368,72
895b8d04b83ffff,459166.16216389526,113396.85568069787,683
89cf3334087ffff,442673.40800481255,99464.68197819797,748
8954160e9a7ffff,448362.9009358715,107082.78695467516,352
89f293988b7ffff,447390.13140225504,87940.85903047514,535
89e46b8318bffff,421493.6105879769,111681.74693712381,2
8911a289553ffff,476694.2560948678,110912.98887939962,473
893c0e36007ffff,458308.36686756916,71368.584520447,714
8914096b3b3ffff,420175.9717850491,58814.22326803171,669
89e25c19dabffff,425392.3647841083,47563.75658441291,690
896d83cb063ffff,430728.98043000954,102677.60463186957,124
89ee81b354bffff,426889.38284302165,128145.06393213494,380
89a06d652c7ffff,455021.3108796991,85892.11895133206,315
898393749cfffff,438302.2369763497,56358.983586540315,53
89f2eb664abffff,431536.7479173396,60561.34231792012,394
89c46c02d3bffff,421877.7723673229,118416.1244580831,124
893c0569dbbffff,439949.03199607495,114926.50994371856,807
890716a8d27ffff,459825.3740634236,71448.94776547076,996
8958762e36fffff,446054.9450697078,66610.70009522533,730
89da093b4a7ffff,412433.2516578217,61541.5456288444,475
897d630e497ffff,431826.3168518574,68191.06352029223,87
89eda090eafffff,459297.82642500754,126519.30577221474,281
8932e27164bffff,430240.1952842,106725.73115890918,620
89e99e5006fffff,443413.1062402828,85057.09220138058,310
8988714222fffff,419586.3120133087,73460.47380568438,898
89604db8bb3ffff,458647.0769479728,94025.65050048188,112
89030311ba7ffff,415894.1501119986,87190.39731337703,662
89f04eadc07ffff,444495.1977248784,90930.63299222005,177
898304cdcdbffff,480227.0705014675,92893.35165570362,756
89f29387093ffff,421469.9137284292,70617.01667603315,200
8994cb5562bffff,453581.10489443946,107772.92919570373,890
8995b669013ffff,427152.3772890605,74093.7067298239,23
89019bd4563ffff,450466.0332031336,106083.48352603051,673
8900c9c9003ffff,411928.13547212764,65995.74604142687,123
89b91d4462bffff,466054.4551740169,78433.33873759623,51
8905364aaabffff,450075.1056832155,113139.8704222346,194
897869d0e2fffff,455581.2331052605,122094.93183392145,560
897f96c10b7ffff,477355.73414225504,107463.66737346677,294
89c32c81b27ffff,418997.46111892967,75893.47830485573,839
899a132ad07ffff,462071.88828493754,63368.897432311205,794
89ee6d7048bffff,469372.57635850704,85617.99302086585,783
89e9818f63bffff,467170.9917911388,94046.63991445451,75
892d21b0dc3ffff,431684.0639851033,127111.4467063605,148
89f16654137ffff,431551.4772409808,93637.37397882056,521
89f2a872037ffff,480504.1273758743,82129.48912970776,555
894b76365cfffff,475709.09299779305,79149.26414988724,530
8995802de67ffff,443507.4931112021,60237.71978960287,978
8958002b1cbffff,423733.8929053835,88566.65395803106,907
89e2f61a547ffff,461821.84311214805,116515.26225388961,120
89e3136c4b7ffff,439086.0141158857,80322.81342662321,755
89b170ae17bffff,417210.6469947598,59994.631871543505,745
89155141373ffff,422700.08823128714,91205.59718456994,219
89b23511dbbffff,415643.9895682735,70308.3761683635,783
8990d414d4fffff,454145.34610463755,58740.27991202273,717
8906d2434cfffff,434271.7618411479,112802.1332785216,162
89033185a13ffff,447568.48309588805,61414.34150676532,794
89f35874013ffff,439813.8740592045,58725.102413395536,24
89dca54cb6fffff,461106.31129715685,74512.14551086498,198
89f2f0d82b3ffff,463957.3058754696,116885.59283818792,632
89a8f0d0a2bffff,442639.2321741561,52332.72678066137,113
89c98136eabffff,448523.5881359969,100195.52496885219,736
897766d2b2fffff,450730.7399471649,45519.02007675765,139
8982dc4c543ffff,411296.0472906041,89827.4628657035,320
89e413b733bffff,420422.5293402619,76782.2226649231,744
8988cc92943ffff,452520.05050365767,121522.2717429074,900
890f8c184dbffff,452585.2474713585,72274.62349692942,215
89ec5bad343ffff,453856.7230517023,83823.96058186846,265
898ee919117ffff,458981.586778214,118359.21214023972,369
89032636047ffff,410490.21740317903,118995.69082706308,565
89336c36157ffff,481704.55896921386,98441.97552689564,559
89132bca407ffff,419873.1354378392,113462.64727499311,929
